

Here’s the schedule:

*Round 1 and 2*
1. otokolo vs divine
2. adedoyin vs Kevin  
3. somto vs Emmanuel
4. layomi vs Ebenezer

*Round 3 and 4*
1. otokolo vs Kevin
2. divine vs Emmanuel
3. adedoyin vs Ebenezer
4. somto vs layomi

*Round 5 and 6*
1. otokolo vs Emmanuel
2. Kevin vs Ebenezer
3. divine vs layomi
4. adedoyin vs somto

*Round 7 and 8*
1. otokolo vs Ebenezer
2. Emmanuel vs layomi
3. Kevin vs somto
4. divine vs adedoyin

*Round 9 and 10*
1. otokolo vs layomi
2. Ebenezer vs somto
3. Emmanuel vs adedoyin
4. Kevin vs divine

*Round 11 and 12*
1. otokolo vs somto
2. layomi vs adedoyin
3. Ebenezer vs divine
4. Emmanuel vs Kevin

*Round 13 and 14*
1. otokolo vs adedoyin
2. somto vs divine
3. layomi vs Kevin
4. Ebenezer vs Emmanuel

Everyone plays 14 games total, and each person faces every other person exactly twice women's away as if it is 2 matchdays.

Want me to put this into a table you can screenshot, or randomize the round order?
